Hola, buenos días, ¿me podrías decir quién es el autor o autores de Data Integration Market Analysis in the Artificial Intelligence Age? Muchas gracias.;Ahmad Alobaid Prof. Oscar Corcho
Oye, ¿sabes quién escribió o colaboró en la publicación NeOn Methodology for Building Ontology Networks? Me sería de mucha ayuda. ; María del Carmen Suárez de Figueroa Baonza,  Prof. Dr. Asunción Gómez Pérez, Dr. Mariano Fernández López 
¿Quién es el autor de Blockchain! General concepts?};Juan Cano-Benito
¡Hola! Estoy investigando sobre los papeles de Panamá y me parece que hay una presentación sobre estos llamada Panama Papers Entity extractor. ¿Puedes ayudarme a identificar al autor o autores?; Pablo Calleja  
Perdona que moleste, ¿me podrías confirmar el autor del documento Latent Topics in Microposts}?; Carlos Badanes
¿Me puedes decir quien ha hecho Terminología en ontologías y otros recursos lexicográficos}?;Patricia Martín Chozas, Julia Bosque, Elena Montiel
¿Quién dio la charla el 16 de Noviembre de 2017? ¿De qué iba y en qué aula se hizo?;
Gestión del grupo: No he cobrado la beca este mes, ¿qué hay que hacer?;Esto es comunicación con la OTT --> Correo a JARG.
Protocolo viajes: ¿Qué me puedes decir sobre los plazos del protocolo de viajes?;De modo genérico, hay que entregar los previajes con más de 15 días de anticipación y los postviajes hasta 15 días después de la finalización del viaje
Protocolo vacaciones y permisos: Soy becario con Beca FPI y me preguntaba una cosa. ¿Cuántos días de vacaciones tengo?;22 días hábiles  
Protocolo accidentes de trabajo: En caso de accidente muy grave, ¿qué pasos hay que hacer?; 1. Hacer seguro el lugar, tanto para el accidentado como para la persona que le atienda, alejando al accidentado y a uno mismo del peligro. 2.Llamar al Servicio de Emergencias (tlf. 112) 3. Se avisará a la Conserjería del Centro para que faciliten el acceso y orienten a la ambulancia hasta el lugar del accidente. 4. Avisar al responsable de la Unidad/ Laboratorio, Taller
Impresión de pósters y panfletos: Dime todo lo que sepas de la Impresión de pósters y panfletos;se enviará un correo electrónico a Katy con una antelación mínima de 10 días indicando igualmente el tamaño en el que debe ser impreso el documento (A1, A2...) 
Reporte de horas: ¿Qué no cuentan como horas de trabajo?; Las horas de viaje, la asistencia a defensas de tesinas y tesis, los trabajos curriculares particulares y la investigación no financiada. 
¿Quién habla de SALT: Software-Article Linker Toolkit?; Daniel Garijo
¿Sobre qué temas trabaja Serge?; Chowlk
¿Quíen ha trabajado en temas de KGE?; Elvira Amador Domínguez
¿Cúal es el objetivo Ana Iglesias para Bio2RDF?; Create the mappings for the datasets of Bio2RDF, Develop a methodology for heterogeneus data, Overcome the problems of the actual methodology.
¿Quienes pusieron un video de Bill Gates en su presentación?; Lupe y Edna
¿Quién hizo su estancia en Bielefeld?; Julia Bosque
¿Quién trabaja con Apache Spark?; Álvaro Brandom
¿De qué trato la charla de Ana Tangarife?;Extracción de entidades nombradas en el dominion del conflicto armado Colombiano y creación de ontología
¿Daniel Garijo trabaja en Research software?;si
¿Quién hizo una presentación para el depósito de tesis?;Pablo Calleja
¿Quiénes saben sobre Wikidata?; Oscar Corcho, Lucie-Aimée y Daniel Garijo
¿Quién trabaja sobre el añotador?; María Navas
